,IMDB_titleID,IMDB_rating,IMDB_title_name
129,/title/tt5121816/,"6.3 based on 22,127 user ratings"," El bar (2017) aka ""The Bar"" "
130,/title/tt10076106/,4.8 based on 538 user ratings, Manmadhudu 2 (2019) 
131,/title/tt9717424/,4.1 based on 202 user ratings," Club Kaylie (2019) (TV Series) aka ""Team Kaylie"" "
132,/title/tt6251390/,5.2 based on 701 user ratings, Under the Eiffel Tower (2018) 
133,/title/tt5278460/,"7.2 based on 5,743 user ratings"," Audrie y Daisy (2016) aka ""Audrie & Daisy"" "
134,/title/tt6081882/,"6.6 based on 2,466 user ratings", Iliza Shlesinger: Confirmed Kills (2016) (TV Special) 
135,/title/tt7718088/,"7.2 based on 10,476 user ratings", Bonding (2018) (TV Series) 
136,/title/tt1935782/,6.3 based on 126 user ratings," Do Paise Ki Dhoop, Chaar Aane Ki Baarish (2009) "
137,/title/tt2396566/,"7.4 based on 12,239 user ratings"," A 20 pasos de la fama (2013) aka ""20 Feet from Stardom"" "
138,/title/tt5164184/,"5.8 based on 11,859 user ratings"," Entre sombras (2018) aka ""In Darkness"" "
139,/title/tt7291268/,"7.0 based on 11,397 user ratings", Gaga: Five Foot Two (2017) 
140,/title/tt4334266/,"5.3 based on 26,017 user ratings"," Amor carnal (2016) aka ""The Bad Batch"" "
141,/title/tt4184878/,"3.3 based on 6,061 user ratings", Smosh: The Movie (2015) 
142,/title/tt8329618/,5.7 based on 262 user ratings, King of Boys (2018) 
143,/title/tt9837502/,5.1 based on 102 user ratings, Merry Men: The Real Yoruba Demons (2018) 
144,/title/tt1668200/,"7.5 based on 15,984 user ratings"," La llave de Sarah (2010) aka ""Sarah's Key"" "
145,/title/tt7827944/,4.6 based on 208 user ratings, The Wedding Party 2: Destination Dubai (2017) 
146,/title/tt8523042/,"8.3 based on 3,326 user ratings"," Baegabondeu (2019) (TV Series) aka ""Vagabond"" "
147,/title/tt8893566/,7.2 based on 317 user ratings, Battlefish (2018) (TV Series) 
148,/title/tt8528256/,6.9 based on 402 user ratings, Hisone y Masotan: A lomos del dragón (2018) (TV Series) 
149,/title/tt6385540/,"8.6 based on 5,841 user ratings", Hilda (2018) (TV Series) 
150,/title/tt5580146/,"7.8 based on 63,617 user ratings", Maniac (2018) (TV Mini-Series) 
151,Not Found,Not Found,Not Found
152,/title/tt9038520/,6.5 based on 176 user ratings, Rafinha Bastos: Ultimato (2018) (TV Special) 
153,/title/tt7183074/,"7.0 based on 4,732 user ratings", The Good Cop (2018) (TV Series) 
154,/title/tt9398640/,"6.1 based on 25,809 user ratings"," Entre dos helechos: La película (2019) aka ""Between Two Ferns: The Movie"" "
155,/title/tt10986052/,"7.2 based on 2,993 user ratings"," Criminal: Francia (2019) (TV Series) aka ""Criminal: France"" "
156,/title/tt10986056/,"7.7 based on 3,845 user ratings"," Criminal: Alemania (2019) (TV Series) aka ""Criminal: Germany"" "
157,/title/tt10986050/,"6.9 based on 3,093 user ratings"," Criminal: España (2019) (TV Series) aka ""Criminal: Spain"" "
158,/title/tt9348692/,"7.6 based on 13,199 user ratings"," Criminal: Reino Unido (2019) (TV Series) aka ""Criminal: UK"" "
159,Not Found,Not Found,Not Found
160,/title/tt10837476/,"7.9 based on 8,546 user ratings", Inside Bill's Brain: Decoding Bill Gates (2019) (TV Mini-Series) 
161,/title/tt9486226/,7.1 based on 294 user ratings," Las del hockey (2019) (TV Series) aka ""The Hockey Girls"" "
162,/title/tt8748256/,"5.9 based on 2,565 user ratings"," Yol Arkadasim 2 (2018) aka ""Travel Mates 2"" "
163,Not Found,Not Found,Not Found
164,/title/tt6873926/,5.6 based on 920 user ratings, Two Sentence Horror Stories (2017) (TV Series) 
165,/title/tt6041030/,"7.3 based on 1,477 user ratings"," Yat nim mou ming (2016) aka ""Mad World"" "
166,/title/tt1587790/,"7.8 based on 1,002 user ratings"," Kidô Senshi Gundam Unicorn (2010) (TV Mini-Series) aka ""Mobile Suit Gundam UC"" "
167,Not Found,Not Found,Not Found
168,/title/tt3422314/,5.0 based on 245 user ratings," Promakhos (2014) aka ""The First Line"" "
169,Not Found,Not Found,Not Found
170,/title/tt8507498/,7.8 based on 75 user ratings, Monkey Twins (2018) (TV Series) 
171,/title/tt4911780/,5.8 based on 329 user ratings, Bitcoin Heist (2016) 
172,/title/tt5918090/,"6.9 based on 2,000 user ratings"," Yo no soy Madame Bovary (2016) aka ""I Am Not Madame Bovary"" "
173,/title/tt3704298/,"5.5 based on 1,856 user ratings", Vincent N Roxxy (2016) 
174,/title/tt6088326/,"8.3 based on 1,506 user ratings", Chef's Table: France (2016) (TV Series) 
175,/title/tt6035850/,6.9 based on 218 user ratings," Kulipari: El ejército de las ranas (2016) (TV Series) aka ""Kulipari: An Army of Frogs"" "
176,/title/tt2667960/,"5.5 based on 5,112 user ratings"," La señorita Julia (2014) aka ""Miss Julie"" "
177,/title/tt8983202/,"7.1 based on 25,709 user ratings", Kabir Singh (2019) 
