,genre,country,count
543,Dramas,Malaysia,7
544,Dramas,Mauritius,0
545,Dramas,Mexico,34
546,Dramas,Netherlands,14
547,Dramas,New Zealand,4
548,Dramas,Norway,8
549,Dramas,Pakistan,12
550,Dramas,Paraguay,0
551,Dramas,Peru,1
552,Dramas,Philippines,25
553,Dramas,Poland,19
554,Dramas,Portugal,4
555,Dramas,Romania,3
556,Dramas,Russia,3
557,Dramas,Saudi Arabia,0
558,Dramas,Serbia,2
559,Dramas,Singapore,7
560,Dramas,Slovenia,1
561,Dramas,Somalia,1
562,Dramas,South Africa,9
563,Dramas,South Korea,24
564,Dramas,Soviet Union,2
565,Dramas,Spain,63
566,Dramas,Sweden,11
567,Dramas,Switzerland,10
568,Dramas,Taiwan,4
569,Dramas,Thailand,3
570,Dramas,Turkey,17
571,Dramas,United Arab Emirates,10
572,Dramas,United Kingdom,122
573,Dramas,United States,533
574,Dramas,Uruguay,4
575,Dramas,Venezuela,0
576,Horror Movies,Argentina,3
577,Horror Movies,Australia,3
578,Horror Movies,Austria,0
579,Horror Movies,Belgium,4
580,Horror Movies,Brazil,0
581,Horror Movies,Bulgaria,1
582,Horror Movies,Cambodia,0
583,Horror Movies,Canada,22
584,Horror Movies,Chile,2
585,Horror Movies,China,1
586,Horror Movies,Colombia,0
587,Horror Movies,Croatia,0
588,Horror Movies,Cyprus,0
589,Horror Movies,Czech Republic,0
590,Horror Movies,Denmark,0
591,Horror Movies,Egypt,1
592,Horror Movies,Finland,0
593,Horror Movies,France,9
594,Horror Movies,Georgia,0
595,Horror Movies,Germany,5
596,Horror Movies,Ghana,0
597,Horror Movies,Hong Kong,0
598,Horror Movies,Iceland,1
599,Horror Movies,India,31
600,Horror Movies,Indonesia,10
601,Horror Movies,Iran,1
602,Horror Movies,Ireland,2
603,Horror Movies,Israel,1
604,Horror Movies,Italy,1
605,Horror Movies,Japan,3
606,Horror Movies,Lebanon,0
607,Horror Movies,Malaysia,4
608,Horror Movies,Mauritius,0
609,Horror Movies,Mexico,4
610,Horror Movies,Netherlands,0
611,Horror Movies,New Zealand,0
612,Horror Movies,Norway,0
613,Horror Movies,Pakistan,1
614,Horror Movies,Paraguay,0
615,Horror Movies,Peru,2
616,Horror Movies,Philippines,3
617,Horror Movies,Poland,1
618,Horror Movies,Portugal,0
619,Horror Movies,Romania,0
620,Horror Movies,Russia,0
621,Horror Movies,Saudi Arabia,0
622,Horror Movies,Serbia,1
623,Horror Movies,Singapore,3
624,Horror Movies,Slovenia,1
625,Horror Movies,Somalia,0
626,Horror Movies,South Africa,2
627,Horror Movies,South Korea,3
628,Horror Movies,Soviet Union,0
629,Horror Movies,Spain,9
630,Horror Movies,Sweden,0
631,Horror Movies,Switzerland,0
632,Horror Movies,Taiwan,1
633,Horror Movies,Thailand,15
634,Horror Movies,Turkey,6
635,Horror Movies,United Arab Emirates,1
636,Horror Movies,United Kingdom,22
637,Horror Movies,United States,145
638,Horror Movies,Uruguay,0
639,Horror Movies,Venezuela,0
640,Independent Movies,Argentina,6
641,Independent Movies,Australia,7
642,Independent Movies,Austria,4
643,Independent Movies,Belgium,12
644,Independent Movies,Brazil,10
645,Independent Movies,Bulgaria,1
646,Independent Movies,Cambodia,0
647,Independent Movies,Canada,32
648,Independent Movies,Chile,5
649,Independent Movies,China,1
650,Independent Movies,Colombia,2
651,Independent Movies,Croatia,2
652,Independent Movies,Cyprus,0
653,Independent Movies,Czech Republic,1
654,Independent Movies,Denmark,7
655,Independent Movies,Egypt,3
656,Independent Movies,Finland,0
657,Independent Movies,France,50
658,Independent Movies,Georgia,1
659,Independent Movies,Germany,23
660,Independent Movies,Ghana,1
661,Independent Movies,Hong Kong,3
662,Independent Movies,Iceland,2
663,Independent Movies,India,128
664,Independent Movies,Indonesia,0
665,Independent Movies,Iran,2
666,Independent Movies,Ireland,3
667,Independent Movies,Israel,4
668,Independent Movies,Italy,3
669,Independent Movies,Japan,5
670,Independent Movies,Lebanon,0
671,Independent Movies,Malaysia,0
672,Independent Movies,Mauritius,0
673,Independent Movies,Mexico,15
674,Independent Movies,Netherlands,3
675,Independent Movies,New Zealand,2
676,Independent Movies,Norway,2
677,Independent Movies,Pakistan,4
678,Independent Movies,Paraguay,0
679,Independent Movies,Peru,1
680,Independent Movies,Philippines,0
681,Independent Movies,Poland,3
682,Independent Movies,Portugal,2
683,Independent Movies,Romania,0
684,Independent Movies,Russia,0
685,Independent Movies,Saudi Arabia,0
686,Independent Movies,Serbia,1
687,Independent Movies,Singapore,1
688,Independent Movies,Slovenia,2
689,Independent Movies,Somalia,0
690,Independent Movies,South Africa,3
691,Independent Movies,South Korea,2
692,Independent Movies,Soviet Union,0
693,Independent Movies,Spain,17
694,Independent Movies,Sweden,6
695,Independent Movies,Switzerland,3
696,Independent Movies,Taiwan,1
697,Independent Movies,Thailand,0
698,Independent Movies,Turkey,2
699,Independent Movies,United Arab Emirates,2
700,Independent Movies,United Kingdom,52
701,Independent Movies,United States,287
702,Independent Movies,Uruguay,1
703,Independent Movies,Venezuela,0
704,International Movies,Argentina,42
705,International Movies,Australia,26
706,International Movies,Austria,7
707,International Movies,Belgium,47
708,International Movies,Brazil,32
709,International Movies,Bulgaria,4
710,International Movies,Cambodia,1
711,International Movies,Canada,44
712,International Movies,Chile,13
713,International Movies,China,59
714,International Movies,Colombia,10
715,International Movies,Croatia,2
716,International Movies,Cyprus,0
717,International Movies,Czech Republic,8
718,International Movies,Denmark,20
719,International Movies,Egypt,44
720,International Movies,Finland,6
721,International Movies,France,148
722,International Movies,Georgia,2
723,International Movies,Germany,69
724,International Movies,Ghana,2
725,International Movies,Hong Kong,81
726,International Movies,Iceland,3
727,International Movies,India,719
728,International Movies,Indonesia,46
729,International Movies,Iran,3
730,International Movies,Ireland,12
731,International Movies,Israel,13
732,International Movies,Italy,38
733,International Movies,Japan,44
734,International Movies,Lebanon,1
735,International Movies,Malaysia,13
736,International Movies,Mauritius,0
737,International Movies,Mexico,52
738,International Movies,Netherlands,29
739,International Movies,New Zealand,8
740,International Movies,Norway,11
741,International Movies,Pakistan,19
742,International Movies,Paraguay,1
743,International Movies,Peru,8
744,International Movies,Philippines,46
745,International Movies,Poland,17
746,International Movies,Portugal,3
747,International Movies,Romania,6
748,International Movies,Russia,6
749,International Movies,Saudi Arabia,1
750,International Movies,Serbia,3
751,International Movies,Singapore,13
752,International Movies,Slovenia,2
753,International Movies,Somalia,0
754,International Movies,South Africa,14
755,International Movies,South Korea,34
756,International Movies,Soviet Union,3
757,International Movies,Spain,111
758,International Movies,Sweden,15
759,International Movies,Switzerland,11
760,International Movies,Taiwan,8
761,International Movies,Thailand,35
762,International Movies,Turkey,60
763,International Movies,United Arab Emirates,11
764,International Movies,United Kingdom,126
765,International Movies,United States,116
766,International Movies,Uruguay,8
767,International Movies,Venezuela,2
768,International TV Shows,Argentina,10
769,International TV Shows,Australia,27
770,International TV Shows,Austria,0
771,International TV Shows,Belgium,10
772,International TV Shows,Brazil,14
773,International TV Shows,Bulgaria,0
774,International TV Shows,Cambodia,0
775,International TV Shows,Canada,23
776,International TV Shows,Chile,4
777,International TV Shows,China,31
778,International TV Shows,Colombia,21
779,International TV Shows,Croatia,1
780,International TV Shows,Cyprus,0
781,International TV Shows,Czech Republic,2
782,International TV Shows,Denmark,6
783,International TV Shows,Egypt,9
784,International TV Shows,Finland,2
785,International TV Shows,France,35
786,International TV Shows,Georgia,0
787,International TV Shows,Germany,18
788,International TV Shows,Ghana,0
789,International TV Shows,Hong Kong,4
790,International TV Shows,Iceland,1
791,International TV Shows,India,48
792,International TV Shows,Indonesia,1
793,International TV Shows,Iran,0
794,International TV Shows,Ireland,3
795,International TV Shows,Israel,8
796,International TV Shows,Italy,6
797,International TV Shows,Japan,112
798,International TV Shows,Lebanon,7
799,International TV Shows,Malaysia,3
800,International TV Shows,Mauritius,1
801,International TV Shows,Mexico,31
802,International TV Shows,Netherlands,5
803,International TV Shows,New Zealand,2
804,International TV Shows,Norway,8
805,International TV Shows,Pakistan,4
806,International TV Shows,Paraguay,0
807,International TV Shows,Peru,0
808,International TV Shows,Philippines,1
809,International TV Shows,Poland,4
810,International TV Shows,Portugal,0
811,International TV Shows,Romania,0
812,International TV Shows,Russia,9
813,International TV Shows,Saudi Arabia,1
814,International TV Shows,Serbia,0
815,International TV Shows,Singapore,11
816,International TV Shows,Slovenia,0
817,International TV Shows,Somalia,0
818,International TV Shows,South Africa,3
819,International TV Shows,South Korea,99
820,International TV Shows,Soviet Union,0
821,International TV Shows,Spain,40
822,International TV Shows,Sweden,7
823,International TV Shows,Switzerland,1
824,International TV Shows,Taiwan,65
825,International TV Shows,Thailand,17
826,International TV Shows,Turkey,25
827,International TV Shows,United Arab Emirates,1
828,International TV Shows,United Kingdom,107
829,International TV Shows,United States,58
830,International TV Shows,Uruguay,0
831,International TV Shows,Venezuela,0
832,Kids' TV,Argentina,3
833,Kids' TV,Australia,14
834,Kids' TV,Austria,1
835,Kids' TV,Belgium,0
836,Kids' TV,Brazil,2
837,Kids' TV,Bulgaria,0
838,Kids' TV,Cambodia,0
839,Kids' TV,Canada,51
840,Kids' TV,Chile,0
841,Kids' TV,China,4
842,Kids' TV,Colombia,0
843,Kids' TV,Croatia,0
844,Kids' TV,Cyprus,1
845,Kids' TV,Czech Republic,0
846,Kids' TV,Denmark,3
847,Kids' TV,Egypt,0
848,Kids' TV,Finland,1
849,Kids' TV,France,32
850,Kids' TV,Georgia,0
851,Kids' TV,Germany,5
852,Kids' TV,Ghana,0
853,Kids' TV,Hong Kong,0
854,Kids' TV,Iceland,0
855,Kids' TV,India,5
856,Kids' TV,Indonesia,1
857,Kids' TV,Iran,0
858,Kids' TV,Ireland,2
859,Kids' TV,Israel,0
860,Kids' TV,Italy,7
861,Kids' TV,Japan,27
862,Kids' TV,Lebanon,0
863,Kids' TV,Malaysia,4
864,Kids' TV,Mauritius,0
865,Kids' TV,Mexico,4
866,Kids' TV,Netherlands,3
867,Kids' TV,New Zealand,4
868,Kids' TV,Norway,0
869,Kids' TV,Pakistan,0
870,Kids' TV,Paraguay,0
871,Kids' TV,Peru,0
872,Kids' TV,Philippines,0
873,Kids' TV,Poland,0
874,Kids' TV,Portugal,0
875,Kids' TV,Romania,0
876,Kids' TV,Russia,5
877,Kids' TV,Saudi Arabia,0
878,Kids' TV,Serbia,0
879,Kids' TV,Singapore,2
